,y,Close-0,Close-1,Close-2,Close-3,Close-4,Close-5,Close-6,Close-7,Close-8,Close-9
6216,1,231.0253,230.7994,230.6368,230.3296,230.0495,230.3929,230.0315,229.4262,229.8056,230.0676
6217,1,231.0885,231.0253,230.7994,230.6368,230.3296,230.0495,230.3929,230.0315,229.4262,229.8056
6218,0,232.281,231.0885,231.0253,230.7994,230.6368,230.3296,230.0495,230.3929,230.0315,229.4262
6219,1,231.3776,232.281,231.0885,231.0253,230.7994,230.6368,230.3296,230.0495,230.3929,230.0315
6220,0,231.7841,231.3776,232.281,231.0885,231.0253,230.7994,230.6368,230.3296,230.0495,230.3929
6221,1,230.6368,231.7841,231.3776,232.281,231.0885,231.0253,230.7994,230.6368,230.3296,230.0495
6222,1,230.9349,230.6368,231.7841,231.3776,232.281,231.0885,231.0253,230.7994,230.6368,230.3296
6223,0,232.8231,230.9349,230.6368,231.7841,231.3776,232.281,231.0885,231.0253,230.7994,230.6368
6224,1,231.9558,232.8231,230.9349,230.6368,231.7841,231.3776,232.281,231.0885,231.0253,230.7994
6225,1,232.3172,231.9558,232.8231,230.9349,230.6368,231.7841,231.3776,232.281,231.0885,231.0253
6226,1,232.6243,232.3172,231.9558,232.8231,230.9349,230.6368,231.7841,231.3776,232.281,231.0885
6227,1,232.7147,232.6243,232.3172,231.9558,232.8231,230.9349,230.6368,231.7841,231.3776,232.281
6228,1,233.4916,232.7147,232.6243,232.3172,231.9558,232.8231,230.9349,230.6368,231.7841,231.3776
6229,0,233.853,233.4916,232.7147,232.6243,232.3172,231.9558,232.8231,230.9349,230.6368,231.7841
6230,1,233.6904,233.853,233.4916,232.7147,232.6243,232.3172,231.9558,232.8231,230.9349,230.6368
6231,0,234.0879,233.6904,233.853,233.4916,232.7147,232.6243,232.3172,231.9558,232.8231,230.9349
6232,0,233.2387,234.0879,233.6904,233.853,233.4916,232.7147,232.6243,232.3172,231.9558,232.8231
6233,1,233.1664,233.2387,234.0879,233.6904,233.853,233.4916,232.7147,232.6243,232.3172,231.9558
6234,0,233.3832,233.1664,233.2387,234.0879,233.6904,233.853,233.4916,232.7147,232.6243,232.3172
6235,0,232.8412,233.3832,233.1664,233.2387,234.0879,233.6904,233.853,233.4916,232.7147,232.6243
6236,1,231.6757,232.8412,233.3832,233.1664,233.2387,234.0879,233.6904,233.853,233.4916,232.7147
6237,0,233.6452,231.6757,232.8412,233.3832,233.1664,233.2387,234.0879,233.6904,233.853,233.4916
6238,1,232.9586,233.6452,231.6757,232.8412,233.3832,233.1664,233.2387,234.0879,233.6904,233.853
6239,1,233.3561,232.9586,233.6452,231.6757,232.8412,233.3832,233.1664,233.2387,234.0879,233.6904
6240,0,234.8829,233.3561,232.9586,233.6452,231.6757,232.8412,233.3832,233.1664,233.2387,234.0879
6241,1,234.6751,234.8829,233.3561,232.9586,233.6452,231.6757,232.8412,233.3832,233.1664,233.2387
6242,0,235.2172,234.6751,234.8829,233.3561,232.9586,233.6452,231.6757,232.8412,233.3832,233.1664
6243,1,235.0997,235.2172,234.6751,234.8829,233.3561,232.9586,233.6452,231.6757,232.8412,233.3832
6244,0,237.4848,235.0997,235.2172,234.6751,234.8829,233.3561,232.9586,233.6452,231.6757,232.8412
6245,1,237.3402,237.4848,235.0997,235.2172,234.6751,234.8829,233.3561,232.9586,233.6452,231.6757
6246,0,239.4181,237.3402,237.4848,235.0997,235.2172,234.6751,234.8829,233.3561,232.9586,233.6452
6247,0,238.9212,239.4181,237.3402,237.4848,235.0997,235.2172,234.6751,234.8829,233.3561,232.9586
6248,0,238.6321,238.9212,239.4181,237.3402,237.4848,235.0997,235.2172,234.6751,234.8829,233.3561
6249,1,237.7739,238.6321,238.9212,239.4181,237.3402,237.4848,235.0997,235.2172,234.6751,234.8829
6250,1,237.819,237.7739,238.6321,238.9212,239.4181,237.3402,237.4848,235.0997,235.2172,234.6751
6251,1,238.5689,237.819,237.7739,238.6321,238.9212,239.4181,237.3402,237.4848,235.0997,235.2172
6252,1,239.8698,238.5689,237.819,237.7739,238.6321,238.9212,239.4181,237.3402,237.4848,235.0997
6253,1,240.5926,239.8698,238.5689,237.819,237.7739,238.6321,238.9212,239.4181,237.3402,237.4848
6254,0,241.0172,240.5926,239.8698,238.5689,237.819,237.7739,238.6321,238.9212,239.4181,237.3402
6255,0,240.9901,241.0172,240.5926,239.8698,238.5689,237.819,237.7739,238.6321,238.9212,239.4181
6256,1,240.0054,240.9901,241.0172,240.5926,239.8698,238.5689,237.819,237.7739,238.6321,238.9212
6257,1,242.0043,240.0054,240.9901,241.0172,240.5926,239.8698,238.5689,237.819,237.7739,238.6321
6258,0,243.539,242.0043,240.0054,240.9901,241.0172,240.5926,239.8698,238.5689,237.819,237.7739
6259,0,242.6037,243.539,242.0043,240.0054,240.9901,241.0172,240.5926,239.8698,238.5689,237.819
6260,1,242.4765,242.6037,243.539,242.0043,240.0054,240.9901,241.0172,240.5926,239.8698,238.5689
6261,0,242.976,242.4765,242.6037,243.539,242.0043,240.0054,240.9901,241.0172,240.5926,239.8698
6262,0,242.9124,242.976,242.4765,242.6037,243.539,242.0043,240.0054,240.9901,241.0172,240.5926
6263,1,242.6218,242.9124,242.976,242.4765,242.6037,243.539,242.0043,240.0054,240.9901,241.0172
6264,1,242.7399,242.6218,242.9124,242.976,242.4765,242.6037,243.539,242.0043,240.0054,240.9901
6265,0,243.2393,242.7399,242.6218,242.9124,242.976,242.4765,242.6037,243.539,242.0043,240.0054
6266,1,242.3222,243.2393,242.7399,242.6218,242.9124,242.976,242.4765,242.6037,243.539,242.0043
6267,1,244.0565,242.3222,243.2393,242.7399,242.6218,242.9124,242.976,242.4765,242.6037,243.539
6268,1,245.6002,244.0565,242.3222,243.2393,242.7399,242.6218,242.9124,242.976,242.4765,242.6037
6269,1,246.6354,245.6002,244.0565,242.3222,243.2393,242.7399,242.6218,242.9124,242.976,242.4765
6270,1,248.279,246.6354,245.6002,244.0565,242.3222,243.2393,242.7399,242.6218,242.9124,242.976
6271,1,248.733,248.279,246.6354,245.6002,244.0565,242.3222,243.2393,242.7399,242.6218,242.9124
6272,0,249.296,248.733,248.279,246.6354,245.6002,244.0565,242.3222,243.2393,242.7399,242.6218
6273,1,248.9146,249.296,248.733,248.279,246.6354,245.6002,244.0565,242.3222,243.2393,242.7399
6274,1,250.7307,248.9146,249.296,248.733,248.279,246.6354,245.6002,244.0565,242.3222,243.2393
6275,0,252.3652,250.7307,248.9146,249.296,248.733,248.279,246.6354,245.6002,244.0565,242.3222
6276,1,251.5025,252.3652,250.7307,248.9146,249.296,248.733,248.279,246.6354,245.6002,244.0565
6277,0,253.8998,251.5025,252.3652,250.7307,248.9146,249.296,248.733,248.279,246.6354,245.6002
6278,1,253.473,253.8998,251.5025,252.3652,250.7307,248.9146,249.296,248.733,248.279,246.6354
