Date,Open,High,Low,Close,"MACD(12,26)",Sig(9)
4/23/2009,64.3674,64.9069,63.5468,64.8689,1.3228,1.3961
4/24/2009,65.3704,66.3431,65.1121,65.8492,1.3561,1.3881
4/27/2009,65.1045,66.1151,64.9981,65.2261,1.3171,1.3739
4/28/2009,64.565,65.796,64.4054,65.0209,1.2552,1.3502
4/29/2009,65.7428,67.1409,65.5756,66.4038,1.3027,1.3407
4/30/2009,67.2853,67.6424,66.0467,66.4266,1.3269,1.3379
5/1/2009,66.4418,67.0269,65.8947,66.7838,1.3592,1.3422
5/4/2009,67.2853,69.1013,67.1561,69.0557,1.5503,1.3838
5/5/2009,68.8202,69.0937,68.2655,68.8202,1.6635,1.4397
5/6/2009,69.6636,70.0588,68.8506,70.0139,1.8285,1.5175
5/7/2009,70.6742,70.7806,68.5998,69.0406,1.8593,1.5858
5/8/2009,69.9296,70.8338,69.0793,70.6514,1.9907,1.6668
5/11/2009,69.6788,69.9904,69.1773,69.3293,1.9655,1.7266
5/12/2009,69.6256,69.7776,68.2731,69.1241,1.907,1.7626
5/13/2009,68.1895,68.3947,67.2473,67.3841,1.7007,1.7502
5/14/2009,67.4145,68.4783,67.2473,67.9615,1.5656,1.7133
5/15/2009,67.9084,68.3871,66.9813,67.4069,1.3978,1.6502
5/18/2009,68.0451,69.4053,67.3006,69.3217,1.4031,1.6008
5/19/2009,69.2837,69.884,69.0026,69.2381,1.3846,1.5576
5/20/2009,69.8688,70.5147,68.6986,68.7746,1.3173,1.5095
5/21/2009,67.9767,68.2351,67.0649,67.7868,1.1708,1.4418
5/22/2009,67.9767,68.3871,67.3841,67.6424,1.0312,1.3597
5/26/2009,67.1409,69.5724,67.1105,69.3749,1.0483,1.2974
5/27/2009,69.4813,69.7168,68.0299,68.1363,0.9509,1.2281
5/28/2009,68.7366,69.4053,67.7032,69.0861,0.9395,1.1704
5/29/2009,69.4661,71.1985,68.9038,70.3095,1.0175,1.1398
6/1/2009,71.1757,72.3155,70.9934,72.0116,1.2027,1.1524
6/2/2009,71.7304,72.4675,71.5481,72.0724,1.339,1.1897
6/3/2009,71.4569,71.5253,70.4843,71.1605,1.3578,1.2233
6/4/2009,71.4265,71.9356,70.8946,71.8292,1.4104,1.2608
6/5/2009,72.5587,72.6955,71.2745,71.8444,1.4368,1.296
6/8/2009,71.3049,72.2623,70.697,71.5481,1.4174,1.3202
6/9/2009,71.9508,72.2965,71.4417,71.9128,1.4152,1.3392
6/10/2009,72.5511,72.5587,70.811,71.7304,1.3827,1.3479
6/11/2009,71.8672,73.0298,71.852,72.0496,1.367,1.3517
6/12/2009,71.7304,72.2927,71.4265,72.2471,1.3549,1.3524
6/15/2009,71.3961,71.4417,70.2107,70.5907,1.1978,1.3215
6/16/2009,70.8414,70.887,69.5876,69.6332,0.9847,1.2541
6/17/2009,69.6028,70.1575,69.0178,69.5648,0.8011,1.1635
6/18/2009,69.6712,70.4159,69.3369,70.0732,0.6886,1.0685
6/19/2009,70.745,70.8367,69.935,70.3324,0.6134,0.9775
6/22/2009,69.6446,69.6828,68.2004,68.2233,0.3792,0.8578
6/23/2009,68.3685,68.6818,67.8947,68.2768,0.1956,0.7254
6/24/2009,68.8958,69.5988,68.4678,68.8637,0.0964,0.5996
6/25/2009,68.5213,70.4317,68.4449,70.3629,0.1372,0.5071
6/26/2009,70.1261,70.4852,69.744,70.1795,0.1529,0.4363
6/29/2009,70.3859,70.9284,69.9961,70.8367,0.2159,0.3922
6/30/2009,70.852,71.1118,69.744,70.2636,0.2171,0.3572
7/1/2009,70.5616,71.2417,70.4623,70.554,0.2387,0.3335
7/2/2009,69.637,70.5787,68.5901,68.6283,0.0993,0.2867
7/6/2009,67.9635,68.72,67.7495,68.6207,-0.0116,0.227
7/7/2009,68.5519,68.636,67.2452,67.2911,-0.2045,0.1407
7/8/2009,67.6961,67.8565,66.4811,67.2452,-0.3569,0.0412
7/9/2009,67.7113,67.9329,67.1764,67.3751,-0.4619,-0.0594
7/10/2009,67.016,67.6196,66.7485,67.2146,-0.5517,-0.1579
7/13/2009,67.4821,68.9034,66.9319,68.8515,-0.4852,-0.2233
7/14/2009,69.0639,69.3008,68.5672,69.2396,-0.3966,-0.258
7/15/2009,70.1566,71.4557,69.2927,71.2646,-0.1611,-0.2386
7/16/2009,71.066,72.2198,70.9284,71.9447,0.0795,-0.175
7/17/2009,71.876,72.0746,71.4786,71.9295,0.2658,-0.0868
7/20/2009,72.3497,72.8159,71.9753,72.6944,0.4698,0.0245
7/21/2009,73.2591,73.282,72.1511,73.0298,0.6511,0.1498
7/22/2009,72.5637,73.4577,72.5102,73.0145,0.7844,0.2767
7/23/2009,73.0604,74.9478,72.9993,74.6277,1.0086,0.4231
7/24/2009,74.2754,74.9937,73.8857,74.9326,1.1971,0.5779
7/27/2009,74.795,75.1924,74.3824,75.1542,1.3489,0.7321
7/28/2009,74.6269,75.1694,74.1684,74.8027,1.4243,0.8705
7/29/2009,74.4588,74.954,74.1073,74.6208,1.4527,0.987
7/30/2009,75.521,76.2851,75.3452,75.3987,1.5204,1.0937
7/31/2009,75.3834,76.01,75.1771,75.5057,1.5647,1.1879
8/3/2009,76.3004,76.82,75.8877,76.7512,1.6809,1.2865
8/4/2009,76.4074,77.0569,76.2469,76.9499,1.7687,1.3829
8/5/2009,77.0034,77.0684,76.0941,76.7283,1.7996,1.4663
8/6/2009,77.0798,77.1944,75.9718,76.331,1.7716,1.5273
8/7/2009,77.1333,77.9662,76.713,77.3335,1.8095,1.5837
8/10/2009,76.9805,77.3473,76.6213,77.1715,1.8056,1.6281
8/11/2009,76.8277,76.8811,76.0024,76.2087,1.7052,1.6435
8/12/2009,76.0788,77.6071,76.0406,77.0263,1.6723,1.6493
8/13/2009,77.3778,77.6453,76.6137,77.6147,1.6744,1.6543
8/14/2009,77.5765,77.6376,76.1858,77.0187,1.6094,1.6453
8/17/2009,75.5362,75.6127,74.9746,75.1236,1.389,1.5941
8/18/2009,75.2917,75.9871,75.1542,75.7196,1.248,1.5248
8/19/2009,75.1236,76.6443,75.0472,76.3844,1.1764,1.4552
8/20/2009,76.4838,77.3473,76.3157,77.1715,1.1696,1.398
8/21/2009,77.8058,78.8068,77.6529,78.6845,1.2717,1.3728
8/24/2009,79.0055,79.4334,78.3942,78.6769,1.3366,1.3655
8/25/2009,78.9902,79.6703,78.6616,78.8297,1.3844,1.3693
8/26/2009,78.5852,79.1965,78.3177,78.8374,1.4067,1.3768
8/27/2009,78.7915,79.2577,77.8975,79.0131,1.4221,1.3858
8/28/2009,79.6474,79.7391,78.4553,78.9978,1.4168,1.392
8/31/2009,78.226,78.3865,77.7828,78.2948,1.3404,1.3817
9/1/2009,77.9051,78.8909,76.4074,76.5678,1.1275,1.3308
9/2/2009,76.2469,76.7512,76.0864,76.2775,0.9247,1.2496
9/3/2009,76.7207,77.0034,76.1017,76.9117,0.8058,1.1609
9/4/2009,77.0645,78.0121,76.8353,77.9892,0.7895,1.0866
9/8/2009,78.7075,78.7457,78.2413,78.6616,0.8213,1.0335
9/9/2009,78.7992,79.5327,78.5546,79.2653,0.8851,1.0038
9/10/2009,79.3188,80.1288,78.8756,80.0753,0.9895,1.001
9/11/2009,80.2281,80.465,79.6856,80.06,1.0589,1.0126
9/14/2009,79.3799,80.5873,78.8221,80.4497,1.1322,1.0365
9/15/2009,80.5796,81.084,80.0524,80.7859,1.2036,1.0699
9/16/2009,81.0763,82.0239,80.7927,82.0086,1.3434,1.1246
9/17/2009,81.894,82.5741,81.4355,81.8863,1.4278,1.1853
9/18/2009,82.269,82.2766,81.6624,81.9388,1.4819,1.2446
9/21/2009,81.3016,82.1538,81.125,81.7315,1.4908,1.2938
9/22/2009,82.2152,82.4379,81.8467,82.2075,1.5188,1.3388
9/23/2009,82.3995,82.9446,81.3783,81.5242,1.4689,1.3648
9/24/2009,81.7008,81.8774,80.2727,80.6259,1.3414,1.3602
9/25/2009,80.4493,80.8946,79.9195,80.1959,1.1919,1.3265
9/28/2009,80.503,81.8083,80.4877,81.6317,1.1758,1.2964
9/29/2009,81.7776,82.1692,81.2171,81.386,1.1301,1.2631
9/30/2009,81.6624,81.7392,80.3265,81.0712,1.0564,1.2218
10/1/2009,80.8793,81.1811,79.0442,79.0826,0.8279,1.143
10/2/2009,78.3302,79.1594,78.3072,78.6911,0.6082,1.036
10/5/2009,79.0059,80.0961,78.7755,79.8658,0.5229,0.9334
10/6/2009,80.4416,81.4705,80.3956,81.0098,0.5414,0.855
10/7/2009,80.8255,81.3169,80.672,81.2324,0.5674,0.7975
10/8/2009,81.8083,82.2843,81.2669,81.8544,0.631,0.7642
10/9/2009,81.8774,82.3534,81.6624,82.3534,0.7134,0.754
10/12/2009,82.7373,82.9907,82.3688,82.6759,0.7955,0.7623
10/13/2009,82.4532,82.7014,81.9695,82.507,0.8374,0.7773
10/14/2009,83.4744,84.0119,82.4743,83.9274,0.9739,0.8167
10/15/2009,83.5205,84.2345,83.4821,84.2345,1.0943,0.8722
10/16/2009,83.5358,83.8967,83.0982,83.6049,1.1259,0.9229
10/19/2009,83.7431,84.557,83.4821,84.2959,1.193,0.9769
10/20/2009,84.4188,84.4457,83.4437,83.8514,1.1965,1.0208
10/21/2009,83.7201,84.6952,83.0368,83.0982,1.1255,1.0418
10/22/2009,83.0675,84.2115,82.5377,83.9428,1.1244,1.0583
10/23/2009,84.2192,84.2729,82.6375,82.983,1.0342,1.0535
10/26/2009,83.0751,83.9274,81.8544,82.0847,0.8801,1.0188
10/27/2009,82.1768,82.4532,81.5089,81.7085,0.7193,0.9589
10/28/2009,81.5012,81.7533,80.1191,80.1652,0.462,0.8595
10/29/2009,80.7641,82.0463,80.5721,81.8851,0.3923,0.7661
10/30/2009,81.6163,81.862,79.4205,79.5126,0.144,0.6417
11/2/2009,79.9502,80.933,79.1441,80.0961,-0.0056,0.5122
11/3/2009,79.6508,80.4647,79.4972,80.3495,-0.1025,0.3893
11/4/2009,81.0098,81.6394,80.3495,80.5568,-0.1608,0.2793
11/5/2009,81.125,82.0617,80.956,82.0387,-0.0864,0.2061
11/6/2009,81.5856,82.4609,81.4244,82.2536,-0.01,0.1629
11/9/2009,82.8832,84.1731,82.8218,84.127,0.1995,0.1702
11/10/2009,83.9274,84.4034,83.6664,84.1424,0.3625,0.2087
11/11/2009,84.6952,85.0868,84.1654,84.5723,0.5204,0.271
11/12/2009,84.4572,84.8948,83.4974,83.7124,0.5696,0.3308
11/13/2009,83.9274,84.5263,83.4974,84.1654,0.6378,0.3922
11/16/2009,84.7489,85.7547,84.7029,85.3862,0.7813,0.47
11/17/2009,85.1635,85.5244,84.8411,85.4853,0.8928,0.5546
11/18/2009,85.4246,85.5551,84.8948,85.4323,0.9657,0.6368
11/19/2009,84.8487,85.4598,83.7892,84.319,0.923,0.694
11/20/2009,83.8813,84.2729,83.6971,84.0195,0.8552,0.7263
11/23/2009,85.01,85.7931,84.9179,85.0868,0.8774,0.7565
